medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
789E7E64EC7C31A88C1683D3BA163A46,3C0FB2975708DF2E873C6D7C72E7EABE,VTS,1,,2013-12-05 22:45:00,2013-12-05 22:54:00,4,540,2.08,-73.973854,40.762615,-73.954041,40.775455
9C34910D26A3CBBC48D309CEA303A1B7,D05DEF3DD93BBCF5D596476C8C18A138,VTS,1,,2013-12-05 22:53:00,2013-12-05 22:57:00,6,240,.56,-73.9823,40.766106,-73.982079,40.763973
5BA6F6CB6D998B34BAD3701A118E5419,AA6850948D1690435B1339BA4DCC0AA8,VTS,1,,2013-12-05 22:51:00,2013-12-05 22:55:00,1,240,1.44,-73.989204,40.757675,-73.974815,40.765179
3A00BD8BD96A8EFF2BFE18FE274D8A2D,6687D5368226AFA59F6A7ED87D2952E8,VTS,1,,2013-12-05 22:39:00,2013-12-05 22:55:00,1,960,2.03,-73.974663,40.763454,-74.002495,40.760796
A7E52F824BC1D8DC2535D4C6471E7899,7C653CC679536FAA4C1582017D15023B,VTS,1,,2013-12-05 22:54:00,2013-12-05 22:58:00,1,240,.13,-73.985802,40.722168,-73.992561,40.720589
DB18E9E94EB754CF15E66B03852EA17B,AE116421A797E9A676304AB7A90F2A2F,VTS,1,,2013-12-03 13:18:00,2013-12-03 13:31:00,1,780,1.21,-73.990067,40.745975,-74.004944,40.749657
AB4CE77E2C4994681AC037E63182BE56,3B47015213C70F620585DE87CC5FEE5D,VTS,1,,2013-12-03 13:16:00,2013-12-03 13:29:00,1,780,3.43,-74.014221,40.709648,-74.004738,40.741879
4E34743EA626BD94739D72FD96003FC7,7E76707A3073CECB7122AADE9361CCF4,VTS,1,,2013-12-03 13:25:00,2013-12-03 13:34:00,1,540,4.25,-73.972458,40.746586,-74.002731,40.711353
BC99EA47E536A77AC2C193ADA54920B1,91F5150E0DD5E4B412272AF3EF82B3C1,VTS,1,,2013-12-05 23:49:00,2013-12-05 23:55:00,1,360,2.10,-73.983429,40.773666,-73.964958,40.795143
44778A58ED157840CEADB2F0F5EBF907,DE7247A0C62FA5B65BE1AABCFEAAC569,VTS,1,,2013-12-03 14:22:00,2013-12-03 14:37:00,1,900,1.69,-73.994888,40.750156,-73.985275,40.741787
067E3ED118AC3106F1C53A375837E536,6B32427BE43ABCE17457A34A052892B0,VTS,1,,2013-12-03 14:22:00,2013-12-03 14:35:00,1,780,2.98,-73.9841,40.746063,-74.005882,40.718521
BE0D66D2F076E9E0D89FCCA98E32015F,F7802B88F3429CFF1B3646227C31C2BF,VTS,1,,2013-12-05 23:48:00,2013-12-05 23:50:00,1,120,1.03,-73.979912,40.743385,-73.970932,40.754383
B2091923BB67756ED943F557F8402929,B30DCB99C13D3DD851CB961B6A52C05F,VTS,1,,2013-12-05 23:45:00,2013-12-05 23:54:00,1,540,.78,-73.988693,40.727367,-73.98912,40.71883
C7BD48E6B5119579926735730F910E7E,02570408AB7AC9481E1B2A470BA1E59D,VTS,1,,2013-12-03 14:18:00,2013-12-03 14:35:00,2,1020,3.10,-73.982033,40.7784,-73.965965,40.805183
B6BCBE595116CFC930EEF414717EEDDB,BA202C8FF279F697C61BCF062F4F4884,VTS,1,,2013-12-05 23:46:00,2013-12-05 23:53:00,6,420,1.55,-73.948387,40.714207,-73.930565,40.703472
0FCAD8D2B0D6CAFB4CA81DD5137BE34E,AE8F0E4642C61B014FB2E2658B83E98D,VTS,1,,2013-12-03 14:08:00,2013-12-03 14:35:00,1,1620,3.49,-73.955711,40.78508,-73.983543,40.743866
10EDCAC95129995AD303C2B0384805A7,3C0ECB341E3F9801AE22AF00A29E62E8,VTS,1,,2013-12-05 23:48:00,2013-12-05 23:55:00,3,420,.67,-73.973808,40.756618,-73.983788,40.761341
B73668FE07B7EB48C94796D90985D4AB,E1FDB877569DC6E682FD6CC635472AF0,VTS,1,,2013-12-03 14:34:00,2013-12-03 14:38:00,1,240,.69,-73.983063,40.744759,-73.975395,40.749298
DE147C2E840115BC5D1FC031CFFA49CC,A2EB88192ECE12D9C5685DD1970DFF88,VTS,1,,2013-12-03 14:21:00,2013-12-03 14:38:00,1,1020,2.29,-73.969803,40.754017,-73.996979,40.741592
94FDCBD4545E22964BBCE5D1332076F8,11F130DCDB18EC5EEBF064CC46B22E19,VTS,1,,2013-12-03 14:31:00,2013-12-03 14:36:00,1,300,.58,-73.962097,40.770306,-73.959198,40.777386
789012C17812F930482E380E4F9AC1BE,CAF01975258A64A5AA61CB7F58827DBF,VTS,1,,2013-12-03 14:15:00,2013-12-03 14:36:00,1,1260,2.93,-73.982201,40.773144,-74.001915,40.740433
DE04DF5150832C3E7155C21488C86D2E,9854383E16493E93D3D12D9DD1A4EF4A,VTS,1,,2013-12-05 23:47:00,2013-12-05 23:58:00,1,660,2.13,-73.969353,40.761421,-73.994194,40.751743
809E047F8404F322D6A19D4B7B9D5FF7,2C799C56A419FD505AD9806FCE7113D2,VTS,1,,2013-12-03 14:26:00,2013-12-03 14:37:00,1,660,1.45,-74.013374,40.704002,-74.008629,40.719082
C7C586831A57EACC5CE0D157D7E3617D,2034632487A718024F5810E4491C285B,VTS,1,,2013-12-05 22:17:00,2013-12-05 22:33:00,2,960,5.63,-73.975815,40.755077,-74.008224,40.704563
4F42605E49D16FAB2F330BD47F1DD3D4,305532A6FCD2D5A53BFFCA80D08CCE47,VTS,1,,2013-12-05 22:17:00,2013-12-05 22:34:00,4,1020,4.61,-73.960037,40.719727,-73.974846,40.680401
BA5F84ED96A59E3F6FCF1769B1EF4812,A7A464079BAE522364A275DB762A2E09,VTS,1,,2013-12-05 22:33:00,2013-12-05 22:36:00,5,180,1.08,-73.994781,40.755516,-74.004639,40.743122
8B1F38DF9D013A789F182805D46B6DDB,30207914030B55797A79305952081547,VTS,1,,2013-12-03 12:46:00,2013-12-03 13:01:00,1,900,.26,-74.004082,40.758469,-73.97908,40.736233
911B6F71706854496582414BB897B597,E1BF7E20E4CFD89413821622A208C14E,VTS,1,,2013-12-05 22:12:00,2013-12-05 22:34:00,5,1320,3.29,-73.977699,40.773907,-73.978973,40.74448
AE6D169855A4363F119879EB67476A26,2DB54A6F1BFC5DA49CE15575320534B6,VTS,1,,2013-12-03 12:53:00,2013-12-03 13:02:00,1,540,.83,-74.00058,40.758438,-73.98954,40.757881
23741401A758FA92491AA753522F269E,4FC183FB103700EFBC3B24DFE78759B6,VTS,1,,2013-12-03 12:49:00,2013-12-03 13:03:00,3,840,1.83,-73.978775,40.77256,-73.97673,40.788063
